,날짜,언론사,기사제목,링크
0, 2022.03.21 15:22,파이낸셜뉴스,"네오위즈 네오핀, 클레이튼재단과 맞손..""생태계 확장 협력""",https://finance.naver.com/item/news_read.naver?article_id=0004806485&office_id=014&code=095660&page=2&sm=
1, 2022.03.17 18:51,이코노미스트,블록체인 게임에 사활 건 네오위즈…옛 영광 되찾을까?,https://finance.naver.com/item/news_read.naver?article_id=0000024292&office_id=243&code=095660&page=2&sm=
2, 2022.03.04 08:09,아시아경제,"[클릭 e종목] ""네오위즈, 블록체인 출시·규제 완화 기대감""",https://finance.naver.com/item/news_read.naver?article_id=0005053263&office_id=277&code=095660&page=2&sm=
3, 2022.03.04 08:01,이데일리,"네오위즈, 블록체인 플랫폼사업 윤곽…‘매수’ 유지-대신",https://finance.naver.com/item/news_read.naver?article_id=0005159744&office_id=018&code=095660&page=2&sm=
4, 2022.02.14 13:11,매일경제,"네오위즈 자회사 메타라마, 신규 블록체인 플랫폼 공개",https://finance.naver.com/item/news_read.naver?article_id=0004921477&office_id=009&code=095660&page=2&sm=
5, 2022.02.10 08:34,이데일리,"네오위즈, 블록체인·플랫폼 다각화 긍정적…목표가↑-흥국",https://finance.naver.com/item/news_read.naver?article_id=0005143046&office_id=018&code=095660&page=2&sm=
6, 2022.02.10 08:32,한국경제,"""올해 변화의 원년…네오위즈 목표가 3%↑""-흥국",https://finance.naver.com/item/news_read.naver?article_id=0004661919&office_id=015&code=095660&page=2&sm=
7, 2022.02.09 11:54,이코노미스트,"네오위즈, 지난해 영업이익 61% 급감… “블록체인 생태계 구축 목표”",https://finance.naver.com/item/news_read.naver?article_id=0000022561&office_id=243&code=095660&page=2&sm=
8, 2022.02.09 10:56,매일경제,"네오위즈, 지난해 매출 2612억…올해 P2E 포함 10종 신작 출격",https://finance.naver.com/item/news_read.naver?article_id=0004919405&office_id=009&code=095660&page=2&sm=
9, 2022.02.09 09:03,머니투데이,"네오위즈, 지난해 영업익 231억원으로 6.1% 감소",https://finance.naver.com/item/news_read.naver?article_id=0004705549&office_id=008&code=095660&page=2&sm=
10, 2022.02.09 10:40,이데일리,"네오위즈, 작년 영업익 61% ‘뚝’…“올해 블록체인 게임 확대”",https://finance.naver.com/item/news_read.naver?article_id=0005142304&office_id=018&code=095660&page=2&sm=
11, 2022.02.09 09:09,서울경제,"네오위즈, 지난해 영업이익 232억 원… 전년比 61.6%↓",https://finance.naver.com/item/news_read.naver?article_id=0004016597&office_id=011&code=095660&page=2&sm=
12, 2022.02.09 09:19,이데일리,"네오위즈, 4Q 영업익 59억4600만원…전년比 53.9%↓",https://finance.naver.com/item/news_read.naver?article_id=0005142177&office_id=018&code=095660&page=2&sm=
13, 2022.02.09 09:10,헤럴드경제,"네오위즈, 지난해 영업익 232억…전년비 61.6% ↓",https://finance.naver.com/item/news_read.naver?article_id=0001948075&office_id=016&code=095660&page=2&sm=
14, 2022.02.07 17:47,이데일리,"네오위즈, 100억원 규모 자사주 신탁계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0005140895&office_id=018&code=095660&page=2&sm=
